iter	RMSE
0	3996.67991
1	3990.784951
2	3985.099337
3	3979.366528
4	3973.53415
5	3967.690392
6	3961.8529
7	3955.981628
8	3950.28942
9	3944.469651
10	3938.611376
11	3932.707326
12	3927.033088
13	3921.341906
14	3915.603719
15	3909.93142
16	3904.306837
17	3898.552079
18	3892.719514
19	3887.076451
20	3881.380479
21	3875.697328
22	3870.145887
23	3864.557417
24	3858.906196
25	3853.162384
26	3847.653539
27	3842.103524
28	3836.583894
29	3831.006546
30	3825.526229
31	3819.984147
32	3814.441952
33	3808.769067
34	3803.230456
35	3797.680438
36	3792.120136
37	3786.713439
38	3781.221482
39	3775.648204
40	3770.078719
41	3764.498267
42	3759.030292
43	3753.587091
44	3748.032371
45	3742.684674
46	3737.231894
47	3731.880732
48	3726.485365
49	3721.147981
50	3715.612011
51	3710.230995
52	3704.9477
53	3699.595684
54	3694.305002
55	3689.022681
56	3683.709166
57	3678.367438
58	3672.936079
59	3667.630897
60	3662.291021
61	3656.928881
62	3651.692727
63	3646.361707
64	3641.071121
65	3635.826663
66	3630.565571
67	3625.30182
68	3620.208829
69	3614.98636
70	3609.840417
71	3604.67371
72	3599.483138
73	3594.28793
74	3589.034422
75	3584.012549
76	3578.904643
77	3573.610033
78	3568.400512
79	3563.336545
80	3558.236449
81	3553.007057
82	3547.937096
83	3542.9447
84	3537.920728
85	3532.804721
86	3527.744856
87	3522.845921
88	3517.848494
89	3512.705508
90	3507.633466
91	3502.580741
92	3497.640359
93	3492.60332
94	3487.631111
95	3482.604299
96	3477.697191
97	3472.654376
98	3467.678898
99	3462.801514
100	3457.804758
101	3452.954536
102	3448.070626
103	3443.198877
104	3438.512973
105	3433.580487
106	3428.710843
107	3423.808298
108	3418.856566
109	3414.010978
110	3409.052089
111	3404.137405
112	3399.33096
113	3394.500896
114	3389.635545
115	3384.826282
116	3380.154519
117	3375.383515
118	3370.596127
119	3365.899125
120	3361.050196
121	3356.298985
122	3351.700767
123	3347.031157
124	3342.36573
125	3337.625739
126	3332.980769
127	3328.16915
128	3323.434958
129	3318.739892
130	3314.053602
131	3309.288276
132	3304.529294
133	3299.922141
134	3295.293065
135	3290.624163
136	3286.020098
137	3281.273647
138	3276.675438
139	3272.047957
140	3267.366332
141	3262.900792
142	3258.340355
143	3253.754975
144	3249.070453
145	3244.584675
146	3240.101309
147	3235.493733
148	3230.88624
149	3226.373242
150	3221.845475
151	3217.408578
152	3212.922442
153	3208.522277
154	3203.927724
155	3199.451769
156	3194.991799
157	3190.46508
158	3186.073544
159	3181.641541
160	3177.271614
161	3172.713244
162	3168.298303
163	3163.785805
164	3159.339446
165	3154.955314
166	3150.559129
167	3146.072682
168	3141.755315
169	3137.551282
170	3133.233552
171	3128.882452
172	3124.450962
173	3120.097174
174	3115.765787
175	3111.450477
176	3107.168577
177	3102.752814
178	3098.505917
179	3094.243221
180	3089.923971
181	3085.562545
182	3081.254825
183	3076.937682
184	3072.691113
185	3068.529123
186	3064.322799
187	3060.160761
188	3055.854313
189	3051.537246
190	3047.331486
191	3043.096877
192	3038.766252
193	3034.504913
194	3030.366195
195	3026.179672
196	3021.956117
197	3017.859184
198	3013.761917
199	3009.64076
200	3005.510434
201	3001.314797
202	2997.175944
203	2992.972043
204	2988.869655
205	2984.75505
206	2980.608388
207	2976.538722
208	2972.520035
209	2968.465195
210	2964.454042
211	2960.4978
212	2956.433914
213	2952.470856
214	2948.406047
215	2944.441738
216	2940.536233
217	2936.442968
218	2932.397915
219	2928.398222
220	2924.39499
221	2920.298175
222	2916.404791
223	2912.3662
224	2908.348521
225	2904.392912
226	2900.451405
227	2896.572247
228	2892.51406
229	2888.592958
230	2884.686916
231	2880.682425
232	2876.843356
233	2873.027655
234	2869.095008
235	2865.17289
236	2861.459844
237	2857.440291
238	2853.535903
239	2849.570373
240	2845.771758
241	2841.890399
242	2837.933249
243	2834.168047
244	2830.260832
245	2826.493709
246	2822.61432
247	2818.813047
248	2815.058784
249	2811.289091
250	2807.507916
251	2803.719391
252	2799.94941
253	2796.148766
254	2792.397603
255	2788.627537
256	2784.8733
257	2781.048919
258	2777.285068
259	2773.544715
260	2769.777808
261	2766.15464
262	2762.449154
263	2758.739185
264	2755.06148
265	2751.338464
266	2747.651531
267	2743.93246
268	2740.227182
269	2736.641256
270	2733.082202
271	2729.380893
272	2725.768997
273	2722.141162
274	2718.461302
275	2714.780818
276	2711.170921
277	2707.46797
278	2703.725777
279	2700.087917
280	2696.436961
281	2692.849265
282	2689.27456
283	2685.643078
284	2682.04835
285	2678.460379
286	2674.866528
287	2671.24643
288	2667.609967
289	2663.986759
290	2660.420187
291	2656.910121
292	2653.340878
293	2649.773716
294	2646.165027
295	2642.586113
296	2639.065811
297	2635.608564
298	2632.158858
299	2628.674544
300	2625.139324
301	2621.768179
302	2618.303944
303	2614.92217
304	2611.598644
305	2608.125213
306	2604.760729
307	2601.361784
308	2597.889689
309	2594.432943
310	2591.02558
311	2587.592931
312	2584.226321
313	2580.895355
314	2577.54907
315	2574.197753
316	2570.731042
317	2567.43092
318	2564.025633
319	2560.752598
320	2557.438581
321	2554.130248
322	2550.834136
323	2547.418703
324	2543.996549
325	2540.732292
326	2537.353186
327	2534.01972
328	2530.713315
329	2527.38274
330	2523.987995
331	2520.677357
332	2517.331643
333	2514.071658
334	2510.864988
335	2507.764204
336	2504.497979
337	2501.29154
338	2497.977719
339	2494.749979
340	2491.421016
341	2488.162878
342	2484.961697
343	2481.68046
344	2478.435071
345	2475.190155
346	2472.077559
347	2468.927823
348	2465.674127
349	2462.45562
350	2459.302785
351	2456.153172
352	2452.993062
353	2449.862018
354	2446.694609
355	2443.513116
356	2440.459322
357	2437.324663
358	2434.151815
359	2430.994361
360	2427.87042
361	2424.788818
362	2421.616331
363	2418.488352
364	2415.31121
365	2412.243441
366	2409.168176
367	2406.118804
368	2403.097183
369	2399.974575
370	2396.927884
371	2393.91405
372	2390.886597
373	2387.807399
374	2384.795507
375	2381.787783
376	2378.74622
377	2375.65847
378	2372.671292
379	2369.587704
380	2366.474922
381	2363.435885
382	2360.495609
383	2357.546231
384	2354.493056
385	2351.448501
386	2348.433107
387	2345.423074
388	2342.532701
389	2339.616599
390	2336.69465
391	2333.793499
392	2330.897134
393	2327.980901
394	2325.101469
395	2322.108668
396	2319.220217
397	2316.23487
398	2313.303171
399	2310.358802
400	2307.372704
401	2304.386264
402	2301.57477
403	2298.588545
404	2295.722052
405	2292.771779
406	2290.008757
407	2287.106186
408	2284.24418
409	2281.333334
410	2278.475108
411	2275.610325
412	2272.708076
413	2269.825166
414	2266.999819
415	2264.198407
416	2261.36685
417	2258.576341
418	2255.734729
419	2252.863412
420	2250.09212
421	2247.330646
422	2244.490122
423	2241.614848
424	2238.803152
425	2236.066456
426	2233.245521
427	2230.582398
428	2227.747937
429	2224.96981
430	2222.261915
431	2219.465816
432	2216.666201
433	2213.911624
434	2211.155751
435	2208.37439
436	2205.595108
437	2202.803061
438	2200.123435
439	2197.376401
440	2194.766983
441	2192.054758
442	2189.270135
443	2186.583511
444	2183.873809
445	2181.181006
446	2178.572696
447	2175.879138
448	2173.196973
449	2170.479432
450	2167.773788
451	2165.201892
452	2162.496409
453	2159.786672
454	2157.10513
455	2154.518715
456	2151.955975
457	2149.310863
458	2146.630485
459	2144.02552
460	2141.445102
461	2138.862108
462	2136.335875
463	2133.661215
464	2131.073667
465	2128.484568
466	2125.932223
467	2123.469901
468	2120.876703
469	2118.285656
470	2115.825602
471	2113.354477
472	2110.843586
473	2108.325098
474	2105.766404
475	2103.183423
476	2100.631661
477	2098.061147
478	2095.479684
479	2092.967088
480	2090.389282
481	2087.931709
482	2085.421507
483	2082.935059
484	2080.470651
485	2077.956936
486	2075.474277
487	2072.94197
488	2070.483417
489	2067.957577
490	2065.449728
491	2062.939224
492	2060.485871
493	2058.082772
494	2055.742397
495	2053.266719
496	2050.822407
497	2048.346827
498	2045.888425
499	2043.432681
500	2040.987354
501	2038.530323
502	2036.186413
503	2033.789293
504	2031.441761
505	2029.001894
506	2026.563786
507	2024.175711
508	2021.749432
509	2019.332966
510	2016.942254
511	2014.497149
512	2012.093873
513	2009.721623
514	2007.321351
515	2004.976496
516	2002.604076
517	2000.216636
518	1997.875943
519	1995.535437
520	1993.182481
521	1990.857593
522	1988.512643
523	1986.220594
524	1983.886017
525	1981.529885
526	1979.235993
527	1976.944352
528	1974.666921
529	1972.409959
530	1970.059903
531	1967.75059
532	1965.496685
533	1963.162364
534	1960.861602
535	1958.528219
536	1956.217212
537	1953.90771
538	1951.622557
539	1949.391368
540	1947.11671
541	1944.967886
542	1942.812771
543	1940.556847
544	1938.29877
545	1936.115084
546	1933.834349
547	1931.579192
548	1929.338314
549	1927.073448
550	1924.89542
551	1922.677586
552	1920.415082
553	1918.244137
554	1916.041398
555	1913.815864
556	1911.605654
557	1909.375204
558	1907.151182
559	1904.966611
560	1902.834793
561	1900.620944
562	1898.431519
563	1896.292268
564	1894.089556
565	1891.917579
566	1889.688769
567	1887.522641
568	1885.389203
569	1883.30414
570	1881.151466
571	1879.00872
572	1876.882015
573	1874.743531
574	1872.672437
575	1870.60642
576	1868.537288
577	1866.486604
578	1864.310554
579	1862.203194
580	1860.096639
581	1858.032537
582	1855.904851
583	1853.79229
584	1851.689086
585	1849.578819
586	1847.483783
587	1845.385159
588	1843.378531
589	1841.298924
590	1839.242058
591	1837.193134
592	1835.112109
593	1833.027765
594	1830.933735
595	1828.874038
596	1826.786316
597	1824.715352
598	1822.709547
599	1820.626768
600	1818.626242
601	1816.688227
602	1814.630563
603	1812.661714
604	1810.595807
605	1808.660974
606	1806.66368
607	1804.654179
608	1802.628854
609	1800.619404
610	1798.640677
611	1796.646325
612	1794.687742
613	1792.67076
614	1790.78311
615	1788.835096
616	1786.842737
617	1784.868061
618	1782.915864
619	1780.984756
620	1778.966292
621	1777.006186
622	1775.06137
623	1773.078762
624	1771.102671
625	1769.173937
626	1767.245534
627	1765.348513
628	1763.474592
629	1761.537737
630	1759.57365
631	1757.671683
632	1755.752609
633	1753.772567
634	1751.782139
635	1749.880653
636	1748.046866
637	1746.136575
638	1744.215773
639	1742.30888
640	1740.447999
641	1738.588126
642	1736.723009
643	1734.837897
644	1732.948
645	1731.111771
646	1729.239803
647	1727.359697
648	1725.480538
649	1723.594812
650	1721.743635
651	1719.874735
652	1718.004843
653	1716.159749
654	1714.270796
655	1712.431306
656	1710.581471
657	1708.774341
658	1706.92462
659	1705.093785
660	1703.317415
661	1701.4451
662	1699.582558
663	1697.787561
664	1695.982299
665	1694.179439
666	1692.423813
667	1690.610729
668	1688.801661
669	1687.063975
670	1685.301683
671	1683.506693
672	1681.752624
673	1679.939671
674	1678.143613
675	1676.375318
676	1674.666601
677	1672.8475
678	1671.059878
679	1669.291173
680	1667.509307
681	1665.768832
682	1664.017501
683	1662.243882
684	1660.53597
685	1658.794956
686	1657.017942
687	1655.220573
688	1653.501276
689	1651.753401
690	1649.986454
691	1648.23963
692	1646.512622
693	1644.773022
694	1643.027728
695	1641.318279
696	1639.60555
697	1637.862172
698	1636.205641
699	1634.490397
700	1632.810227
701	1631.089494
702	1629.378247
703	1627.67749
704	1625.940356
705	1624.194114
706	1622.49963
707	1620.849633
708	1619.12349
709	1617.467571
710	1615.809731
711	1614.178367
712	1612.579213
713	1610.907861
714	1609.205561
715	1607.578569
716	1605.879078
717	1604.260605
718	1602.570408
719	1600.999985
720	1599.394748
721	1597.77644
722	1596.137401
723	1594.528028
724	1592.968269
725	1591.338727
726	1589.733463
727	1588.12658
728	1586.474941
729	1584.861803
730	1583.252365
731	1581.683059
732	1580.091604
733	1578.50443
734	1576.920462
735	1575.381425
736	1573.810073
737	1572.265909
738	1570.64937
739	1569.086332
740	1567.53489
741	1565.949087
742	1564.390845
743	1562.788076
744	1561.236773
745	1559.739048
746	1558.173127
747	1556.630836
748	1555.028477
749	1553.487071
750	1551.883455
751	1550.386316
752	1548.793285
753	1547.28074
754	1545.760606
755	1544.291745
756	1542.793296
757	1541.207492
758	1539.678057
759	1538.184687
760	1536.648978
761	1535.113136
762	1533.644284
763	1532.129332
764	1530.61739
765	1529.05418
766	1527.482839
767	1525.995507
768	1524.511031
769	1522.965026
770	1521.462761
771	1519.96
772	1518.421378
773	1516.93446
774	1515.447094
775	1513.955917
776	1512.493147
777	1511.015592
778	1509.485329
779	1508.030386
780	1506.570771
781	1505.089292
782	1503.642942
783	1502.217214
784	1500.736273
785	1499.314009
786	1497.87931
787	1496.40458
788	1494.985761
789	1493.555485
790	1492.105261
791	1490.621165
792	1489.255555
793	1487.803899
794	1486.356133
795	1484.874074
796	1483.475446
797	1482.049965
798	1480.574112
799	1479.129083
800	1477.707234
801	1476.302339
802	1474.84861
