iter	Passed	Remaining
0	2	294112
1	5	289695
2	8	291292
3	12	300684
4	15	305607
5	18	307117
6	21	303992
7	24	300137
8	27	300550
9	29	298379
10	32	296492
11	35	292750
12	37	287630
13	39	284404
14	42	282012
15	44	279591
16	47	276938
17	49	273046
18	51	270631
19	53	268030
20	55	264103
21	57	261003
22	59	259282
23	61	257090
24	63	254412
25	65	251794
26	67	250110
27	69	248828
28	72	248586
29	74	248788
30	77	248708
31	79	248671
32	81	248302
33	84	248325
34	86	247305
35	89	247211
36	91	247160
37	94	247484
38	96	247259
39	98	247194
40	100	245969
41	103	245569
42	105	245234
43	107	244485
44	110	244449
45	113	246883
46	116	246796
47	118	247534
48	121	247196
49	123	247579
50	126	247824
51	128	247226
52	130	246686
53	133	246414
54	135	246298
55	137	245690
56	139	245424
57	142	245432
58	144	244657
59	147	245737
60	149	245413
61	152	245413
62	154	245629
63	156	245093
64	159	245567
65	162	245293
66	164	245264
67	166	245172
68	169	245506
69	171	245159
70	174	245375
71	176	245395
72	179	245445
73	181	245302
74	183	244579
75	186	244733
76	188	244891
77	191	244990
78	193	245243
79	196	245606
80	199	245572
81	202	246479
82	204	246700
83	207	246347
84	209	246091
85	211	246119
86	214	246283
87	216	245905
88	219	245962
89	221	246087
90	223	245854
91	226	245465
92	228	245350
93	230	245039
94	232	244783
95	234	244489
96	237	244747
97	240	244707
98	242	244853
99	245	245056
100	247	245217
101	250	245452
102	252	245325
103	255	245331
104	258	245826
105	261	246060
106	263	245867
107	265	245811
108	268	245666
109	270	245379
110	272	245172
111	274	244872
112	277	244898
113	279	245302
114	282	245407
115	285	245419
116	287	245362
117	289	245315
118	292	245454
119	294	245322
120	297	245368
121	299	245346
122	302	245318
123	304	245191
124	307	245320
125	309	244988
126	311	244951
127	313	244857
128	316	244740
129	318	244387
130	320	244437
131	323	244510
132	325	244413
133	327	244319
134	330	244195
135	332	244179
136	334	243990
137	337	243940
138	339	243824
139	341	243750
140	344	243918
141	346	243977
142	349	243860
143	351	243767
144	353	243761
145	356	243658
146	358	243671
147	361	243797
148	363	243737
149	365	243627
150	368	243496
151	370	243334
152	372	243345
153	375	243259
154	377	243271
155	380	243293
156	382	243245
157	384	243129
158	387	243315
159	390	243738
160	392	243613
161	395	243612
162	397	243345
163	399	243418
164	403	244007
165	406	244309
166	408	244214
167	410	244100
168	413	244324
169	416	244590
170	418	244591
171	421	244682
172	424	244738
173	426	244906
174	429	244872
175	431	244767
176	433	244655
177	436	244824
178	439	244878
179	441	245059
180	444	245084
181	446	245113
182	449	245115
183	451	245007
184	454	245138
185	456	245123
186	459	245041
187	461	244904
188	463	244793
189	466	244985
190	468	244934
191	471	244919
192	473	244952
193	475	244781
194	478	244761
195	480	244633
196	482	244336
197	484	244179
198	486	244090
199	488	243954
200	491	243949
201	493	243937
202	496	243910
203	498	243920
204	500	243863
205	503	243962
206	505	243894
207	508	243753
208	510	243911
209	513	243922
210	515	243877
211	517	243642
212	519	243610
213	522	243656
214	525	243722
215	527	243757
216	530	243774
217	532	243710
218	534	243686
219	537	243630
220	539	243693
221	542	243618
222	544	243611
223	547	243754
224	549	243850
225	552	243864
226	555	243977
227	557	244003
228	559	243941
229	562	243944
230	564	243937
